dataset_id,site_name,site_property,value
Ahrens_2019,MOG,aridity index,0.39
Ahrens_2019,MOG,MAP (mm),579
Ahrens_2019,MOG,max temp (C),33.3
Ahrens_2019,PEE,latitude (deg),-32.684667
Ahrens_2019,PEE,longitude (deg),115.742667
Ahrens_2019,PEE,aridity index,0.67
Ahrens_2019,PEE,MAP (mm),885
Ahrens_2019,PEE,max temp (C),30.4
Ahrens_2019,PLA,latitude (deg),-34.653417
Ahrens_2019,PLA,longitude (deg),117.499083
Ahrens_2019,PLA,aridity index,0.63
Ahrens_2019,PLA,MAP (mm),733
Ahrens_2019,PLA,max temp (C),26.7
Ahrens_2019,SER,latitude (deg),-32.352694
Ahrens_2019,SER,longitude (deg),116.076472
Ahrens_2019,SER,aridity index,0.89
Ahrens_2019,SER,MAP (mm),1173
Ahrens_2019,SER,max temp (C),30.5
ANBG_2019,Adelaide Botanic Gardens.,latitude (deg),NA
ANBG_2019,Adelaide Botanic Gardens.,longitude (deg),NA
ANBG_2019,Adelaide Botanic Gardens.,collector,"Carmen, P."
ANBG_2019,Adelaide Botanic Gardens.,locality,Adelaide Botanic Gardens.
ANBG_2019,"Blue Mountains National Park, Govetts Leap, 100 m S towards Evans Lookout, Blackheath.",latitude (deg),NA
ANBG_2019,"Blue Mountains National Park, Govetts Leap, 100 m S towards Evans Lookout, Blackheath.",longitude (deg),NA
ANBG_2019,"Blue Mountains National Park, Govetts Leap, 100 m S towards Evans Lookout, Blackheath.",collector,"Cayzer, L.W."
ANBG_2019,"Blue Mountains National Park, Govetts Leap, 100 m S towards Evans Lookout, Blackheath.",locality,"Blue Mountains National Park, Govetts Leap, 100 m S towards Evans Lookout, Blackheath."
ANBG_2019,Brisbane Botanic Gardens Conservation Seed Bank (BBGCS).,latitude (deg),NA
ANBG_2019,Brisbane Botanic Gardens Conservation Seed Bank (BBGCS).,longitude (deg),NA
ANBG_2019,Brisbane Botanic Gardens Conservation Seed Bank (BBGCS).,collector,"Golson, T."
ANBG_2019,Brisbane Botanic Gardens Conservation Seed Bank (BBGCS).,locality,Brisbane Botanic Gardens Conservation Seed Bank (BBGCS).
ANBG_2019,"Burraga Swamp, Barrington Tops.",latitude (deg),NA
ANBG_2019,"Burraga Swamp, Barrington Tops.",longitude (deg),NA
ANBG_2019,"Burraga Swamp, Barrington Tops.",collector,"Wallace, B.J."
ANBG_2019,"Burraga Swamp, Barrington Tops.",locality,"Burraga Swamp, Barrington Tops."
ANBG_2019,c. 11 km north of Mt Isa on Barkly Highway.,latitude (deg),NA
ANBG_2019,c. 11 km north of Mt Isa on Barkly Highway.,longitude (deg),NA
ANBG_2019,c. 11 km north of Mt Isa on Barkly Highway.,collector,"Ollerenshaw, P."
ANBG_2019,c. 11 km north of Mt Isa on Barkly Highway.,locality,c. 11 km north of Mt Isa on Barkly Highway.
ANBG_2019,Central Australian district; Ayers Rock National Park.,latitude (deg),NA
ANBG_2019,Central Australian district; Ayers Rock National Park.,longitude (deg),NA
ANBG_2019,Central Australian district; Ayers Rock National Park.,collector,"Tyrrel, C."
ANBG_2019,Central Australian district; Ayers Rock National Park.,locality,Central Australian district; Ayers Rock National Park.
ANBG_2019,"CULTIVATED Albury Botanic Gardens.Original location 10 km SW of Bicheno, Tas..",latitude (deg),NA
ANBG_2019,"CULTIVATED Albury Botanic Gardens.Original location 10 km SW of Bicheno, Tas..",longitude (deg),NA
ANBG_2019,"CULTIVATED Albury Botanic Gardens.Original location 10 km SW of Bicheno, Tas..",collector,"Edwards, D."
ANBG_2019,"CULTIVATED Albury Botanic Gardens.Original location 10 km SW of Bicheno, Tas..",locality,"CULTIVATED Albury Botanic Gardens.Original location 10 km SW of Bicheno, Tas.."
ANBG_2019,"CULTIVATED Albury Botanic Gardens.Original location Stawell, Vic.",latitude (deg),NA
ANBG_2019,"CULTIVATED Albury Botanic Gardens.Original location Stawell, Vic.",longitude (deg),NA
ANBG_2019,"CULTIVATED Albury Botanic Gardens.Original location Stawell, Vic.",collector,"Edwards, D."
ANBG_2019,"CULTIVATED Albury Botanic Gardens.Original location Stawell, Vic.",locality,"CULTIVATED Albury Botanic Gardens.Original location Stawell, Vic."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; nursery permanent pot collec",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; nursery permanent pot collec",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; nursery permanent pot collec",collector,ANBG Nursery
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; nursery permanent pot collec",locality,"CULTIVATED Australian National Botanic Gardens, Canberra; nursery permanent pot collection."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; nursery.",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; nursery.",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; nursery.",collector,"McAuliffe, J."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; nursery.",locality,"CULTIVATED Australian National Botanic Gardens, Canberra; nursery."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; section 189.",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; section 189.",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; section 189.",collector,"North, T.G."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; section 189.",locality,"CULTIVATED Australian National Botanic Gardens, Canberra; section 189."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra.",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra.",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra.",collector,"Donaldson, S."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra.",locality,"CULTIVATED Australian National Botanic Gardens, Canberra."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Nursery, no. 8703152.",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Nursery, no. 8703152.",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Nursery, no. 8703152.",collector,"Crisp, M.D."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Nursery, no. 8703152.",locality,"CULTIVATED Australian National Botanic Gardens, Nursery, no. 8703152."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, permanent pots, ex 90062155.",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, permanent pots, ex 90062155.",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, permanent pots, ex 90062155.",collector,ANBG
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, permanent pots, ex 90062155.",locality,"CULTIVATED Australian National Botanic Gardens, permanent pots, ex 90062155."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, permanent pots.",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, permanent pots.",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, permanent pots.",collector,ANBG
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, permanent pots.",locality,"CULTIVATED Australian National Botanic Gardens, permanent pots."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Sect. 191f.",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Sect. 191f.",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Sect. 191f.",collector,"Pedersen, S."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Sect. 191f.",locality,"CULTIVATED Australian National Botanic Gardens, Sect. 191f."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, sect. 4, no. 8602220.",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, sect. 4, no. 8602220.",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, sect. 4, no. 8602220.",collector,"Crisp, M.D."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, sect. 4, no. 8602220.",locality,"CULTIVATED Australian National Botanic Gardens, sect. 4, no. 8602220."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Sect. 66, No. 8501813.",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Sect. 66, No. 8501813.",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Sect. 66, No. 8501813.",collector,"Crisp, M.D."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Sect. 66, No. 8501813.",locality,"CULTIVATED Australian National Botanic Gardens, Sect. 66, No. 8501813."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Section 183a, as per CBG 8503344.",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Section 183a, as per CBG 8503344.",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Section 183a, as per CBG 8503344.",collector,"Donaldson, S."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Section 183a, as per CBG 8503344.",locality,"CULTIVATED Australian National Botanic Gardens, Section 183a, as per CBG 8503344."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, section 300.",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, section 300.",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, section 300.",collector,"Edwards, D."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, section 300.",locality,"CULTIVATED Australian National Botanic Gardens, section 300."
ANBG_2019,"CULTIVATED Brisbane, CSIRO Cunningham Laboratory, glasshouse.",latitude (deg),NA
ANBG_2019,"CULTIVATED Brisbane, CSIRO Cunningham Laboratory, glasshouse.",longitude (deg),NA
ANBG_2019,"CULTIVATED Brisbane, CSIRO Cunningham Laboratory, glasshouse.",collector,"Crisp, M.D."
ANBG_2019,"CULTIVATED Brisbane, CSIRO Cunningham Laboratory, glasshouse.",locality,"CULTIVATED Brisbane, CSIRO Cunningham Laboratory, glasshouse."
ANBG_2019,CULTIVATED Brunswick East.,latitude (deg),NA
ANBG_2019,CULTIVATED Brunswick East.,longitude (deg),NA
ANBG_2019,CULTIVATED Brunswick East.,collector,"Scarlett, N.H."
ANBG_2019,CULTIVATED Brunswick East.,locality,CULTIVATED Brunswick East.
ANBG_2019,CULTIVATED Canberra Botanic Gardens 67737 Crowea saligna. Position 119B 029.,latitude (deg),NA
ANBG_2019,CULTIVATED Canberra Botanic Gardens 67737 Crowea saligna. Position 119B 029.,longitude (deg),NA
ANBG_2019,CULTIVATED Canberra Botanic Gardens 67737 Crowea saligna. Position 119B 029.,collector,"Cummings, D.J."
ANBG_2019,CULTIVATED Canberra Botanic Gardens 67737 Crowea saligna. Position 119B 029.,locality,CULTIVATED Canberra Botanic Gardens 67737 Crowea saligna. Position 119B 029.
ANBG_2019,"CULTIVATED CSIRO, Division of Entomology - Canberra. Original plant collected by John",latitude (deg),NA
ANBG_2019,"CULTIVATED CSIRO, Division of Entomology - Canberra. Original plant collected by John",longitude (deg),NA
ANBG_2019,"CULTIVATED CSIRO, Division of Entomology - Canberra. Original plant collected by John",collector,"Woodburn - CSIRO, T."
ANBG_2019,"CULTIVATED CSIRO, Division of Entomology - Canberra. Original plant collected by John",locality,"CULTIVATED CSIRO, Division of Entomology - Canberra. Original plant collected by John Swarbrick QMO, Mt Gowrie, Warrego Hwy, 10 km WNW of Toowoomba. These plants are progeny of the original collection."
ANBG_2019,"CULTIVATED Kings Park and Botanic Garden, rare and endangered garden.",latitude (deg),NA
ANBG_2019,"CULTIVATED Kings Park and Botanic Garden, rare and endangered garden.",longitude (deg),NA
ANBG_2019,"CULTIVATED Kings Park and Botanic Garden, rare and endangered garden.",collector,"Cayzer, L.W."
ANBG_2019,"CULTIVATED Kings Park and Botanic Garden, rare and endangered garden.",locality,"CULTIVATED Kings Park and Botanic Gardens, rare and endangered garden."
ANBG_2019,CULTIVATED Kings Park and Botanic Garden.,latitude (deg),NA
ANBG_2019,CULTIVATED Kings Park and Botanic Garden.,longitude (deg),NA
ANBG_2019,CULTIVATED Kings Park and Botanic Garden.,collector,ANBG
ANBG_2019,CULTIVATED Kings Park and Botanic Garden.,locality,CULTIVATED Kings Park and Botanic Gardens.
ANBG_2019,"CULTIVATED Kings Park, Perth.",latitude (deg),NA
ANBG_2019,"CULTIVATED Kings Park, Perth.",longitude (deg),NA
ANBG_2019,"CULTIVATED Kings Park, Perth.",collector,ANBG
ANBG_2019,"CULTIVATED Kings Park, Perth.",locality,"CULTIVATED Kings Park, Perth."
ANBG_2019,"CULTIVATED Kuranga Nursery, Melbourne.",latitude (deg),NA
ANBG_2019,"CULTIVATED Kuranga Nursery, Melbourne.",longitude (deg),NA
ANBG_2019,"CULTIVATED National Botanic Garden, Canberra.",latitude (deg),NA
ANBG_2019,"CULTIVATED National Botanic Garden, Canberra.",longitude (deg),NA
ANBG_2019,"CULTIVATED National Botanic Garden, Canberra.",collector,"Crisp, M.D."
ANBG_2019,"CULTIVATED National Botanic Garden, Canberra.",locality,"CULTIVATED National Botanic Gardens, Canberra."
ANBG_2019,"CULTIVATED National Botanic Gardens, Canberra, Section 4.",latitude (deg),NA
ANBG_2019,"CULTIVATED National Botanic Gardens, Canberra, Section 4.",longitude (deg),NA
ANBG_2019,"CULTIVATED National Botanic Gardens, Canberra, Section 4.",collector,"Thompson, H."
ANBG_2019,"CULTIVATED National Botanic Gardens, Canberra, Section 4.",locality,"CULTIVATED National Botanic Gardens, Canberra, Section 4."
ANBG_2019,"CULTIVATED National Botanic Gardens, Canberra.",latitude (deg),NA
ANBG_2019,"CULTIVATED National Botanic Gardens, Canberra.",longitude (deg),NA
ANBG_2019,"CULTIVATED National Botanic Gardens, Canberra.",collector,"Verdon, D."
ANBG_2019,"CULTIVATED National Botanic Gardens, Canberra.",locality,"CULTIVATED National Botanic Gardens, Canberra."
ANBG_2019,"CULTIVATED Purchased from Nindethana Seed Service Pty Ltd, WA.",latitude (deg),NA
ANBG_2019,"CULTIVATED Purchased from Nindethana Seed Service Pty Ltd, WA.",longitude (deg),NA
ANBG_2019,"CULTIVATED Purchased from Nindethana Seed Service Pty Ltd, WA.",collector,ANBG Nursery
ANBG_2019,"CULTIVATED Purchased from Nindethana Seed Service Pty Ltd, WA.",locality,"CULTIVATED Purchased from Nindethana Seed Service Pty Ltd, WA."
ANBG_2019,"Donated by Debbie Downes of Wollongong Botanic Garden, to the Australian National Bota",latitude (deg),NA
ANBG_2019,"Donated by Debbie Downes of Wollongong Botanic Garden, to the Australian National Bota",longitude (deg),NA
ANBG_2019,"Donated by Debbie Downes of Wollongong Botanic Garden, to the Australian National Bota",collector,"Golson, T."
ANBG_2019,"Donated by Debbie Downes of Wollongong Botanic Garden, to the Australian National Bota",locality,"Donated by Debbie Downes of Wollongong Botanic Gardens, to the Australian National Botanic Gardens, Canberra."
ANBG_2019,"Gympie district, 10 km SE of Kilkivan, Oakview State Forest, track along creek near fo",latitude (deg),NA
ANBG_2019,"Gympie district, 10 km SE of Kilkivan, Oakview State Forest, track along creek near fo",longitude (deg),NA
ANBG_2019,"Gympie district, 10 km SE of Kilkivan, Oakview State Forest, track along creek near fo",collector,"Bird, L."
ANBG_2019,"Gympie district, 10 km SE of Kilkivan, Oakview State Forest, track along creek near fo",locality,"Gympie district, 10 km SE of Kilkivan, Oakview State Forest, track along creek near forestry camp."
ANBG_2019,"Hout Bay road, opposite Spes Bona, S. of Capetown, Cape Peninsula.",latitude (deg),NA
ANBG_2019,"Hout Bay road, opposite Spes Bona, S. of Capetown, Cape Peninsula.",longitude (deg),NA
ANBG_2019,"Hout Bay road, opposite Spes Bona, S. of Capetown, Cape Peninsula.",collector,"Shaughnessy, G."
ANBG_2019,"Hout Bay road, opposite Spes Bona, S. of Capetown, Cape Peninsula.",locality,"Hout Bay road, opposite Spes Bona, S. of Capetown, Cape Peninsula."
ANBG_2019,No locality given.,latitude (deg),NA
ANBG_2019,No locality given.,longitude (deg),NA
ANBG_2019,No locality given.,collector,"Edwards, D."
ANBG_2019,No locality given.,locality,No locality given.
ANBG_2019,Peak Charles.,latitude (deg),NA
ANBG_2019,Peak Charles.,longitude (deg),NA
ANBG_2019,Peak Charles.,collector,ANBG
ANBG_2019,Peak Charles.,locality,Peak Charles.
ANBG_2019,"Probably collected from Scottsdale Bush Heritage Reserve, NSW (as LS46) or Mulligans F",latitude (deg),NA
ANBG_2019,"Probably collected from Scottsdale Bush Heritage Reserve, NSW (as LS46) or Mulligans F",longitude (deg),NA
ANBG_2019,"Probably collected from Scottsdale Bush Heritage Reserve, NSW (as LS46) or Mulligans F",collector,"Schweickle, L."
ANBG_2019,"Probably collected from Scottsdale Bush Heritage Reserve, NSW (as LS46) or Mulligans F",locality,"Probably collected from Scottsdale Bush Heritage Reserve, NSW (as LS46) or Mulligans Flat, ACT (as LS48). Details to be entered when field book submitted; ANHSIR entry created in advance for ANBG seedbank."
ANBG_2019,Received from Whitsunday Catchment Landcare (Queensland propagator licence number WIPQ,latitude (deg),NA
ANBG_2019,Received from Whitsunday Catchment Landcare (Queensland propagator licence number WIPQ,longitude (deg),NA
ANBG_2019,Received from Whitsunday Catchment Landcare (Queensland propagator licence number WIPQ,collector,"Golson, T."
ANBG_2019,Received from Whitsunday Catchment Landcare (Queensland propagator licence number WIPQ,locality,Received from Whitsunday Catchment Landcare (Queensland propagator licence number WIPQ 2869605).
ANBG_2019,"Royal Botanic Gardens, Sydney.",latitude (deg),NA
ANBG_2019,"Royal Botanic Gardens, Sydney.",longitude (deg),NA
ANBG_2019,"Royal Botanic Gardens, Sydney.",collector,"Golson, T."
ANBG_2019,"Royal Botanic Gardens, Sydney.",locality,"Royal Botanic Gardens, Sydney."
ANBG_2019,Side of track south of Sunset Country Reference Area 12A. 35 km south of Bambill. Mino,latitude (deg),NA
ANBG_2019,Side of track south of Sunset Country Reference Area 12A. 35 km south of Bambill. Mino,longitude (deg),NA
ANBG_2019,Side of track south of Sunset Country Reference Area 12A. 35 km south of Bambill. Mino,collector,"Browne, J.H."
ANBG_2019,Side of track south of Sunset Country Reference Area 12A. 35 km south of Bambill. Mino,locality,Side of track south of Sunset Country Reference Area 12A. 35 km south of Bambill. Minor Grid A40.
ANBG_2019,site_at_-10.4803_degS_and_105.6419_degE,latitude (deg),-10.4803
ANBG_2019,site_at_-10.4803_degS_and_105.6419_degE,longitude (deg),105.6419
ANBG_2019,site_at_-10.4803_degS_and_105.6419_degE,collector,"McAuliffe, J."
ANBG_2019,site_at_-10.4803_degS_and_105.6419_degE,locality,Christmas Island; 800 m W from Jedah Cave towards Murray Road.
ANBG_2019,site_at_-12.1667_degS_and_131.0167_degE,latitude (deg),-12.1667
ANBG_2019,site_at_-12.1667_degS_and_131.0167_degE,longitude (deg),131.0167
ANBG_2019,site_at_-12.1667_degS_and_131.0167_degE,collector,"Parker, M.O."
ANBG_2019,site_at_-12.1667_degS_and_131.0167_degE,locality,Gunn Point.
ANBG_2019,site_at_-12.3833_degS_and_132.95_degE,latitude (deg),-12.3833
ANBG_2019,site_at_-12.3833_degS_and_132.95_degE,longitude (deg),132.95
ANBG_2019,site_at_-12.3833_degS_and_132.95_degE,collector,"Telford, I.R."
ANBG_2019,site_at_-12.3833_degS_and_132.95_degE,locality,"Kakadu National Park, Obiri Rock."
ANBG_2019,site_at_-12.4_degS_and_132.95_degE,latitude (deg),-12.4
ANBG_2019,site_at_-12.4_degS_and_132.95_degE,longitude (deg),132.95
ANBG_2019,site_at_-12.4_degS_and_132.95_degE,collector,"Telford, I.R."
ANBG_2019,site_at_-12.4_degS_and_132.95_degE,locality,"Kakadu National Park, Obiri Rock track, 4 km NW of East Alligator River crossing of Oenpelli Road."
ANBG_2019,site_at_-12.4167_degS_and_130.6667_degE,latitude (deg),-12.4167
ANBG_2019,site_at_-12.4167_degS_and_130.6667_degE,longitude (deg),130.6667
ANBG_2019,site_at_-12.4167_degS_and_130.6667_degE,collector,"Telford, I.R."
ANBG_2019,site_at_-12.4167_degS_and_130.6667_degE,locality,"East Point, 6 km NNW of Darwin."
ANBG_2019,site_at_-12.4167_degS_and_132.95_degE,latitude (deg),-12.4167
ANBG_2019,site_at_-12.4167_degS_and_132.95_degE,longitude (deg),132.95
ANBG_2019,site_at_-12.4167_degS_and_132.95_degE,collector,"Telford, I.R."
ANBG_2019,site_at_-12.4167_degS_and_132.95_degE,locality,"Kakadu National Park, 2 km along Obiri Rock track from Oenpelli road."
ANBG_2019,site_at_-12.4833_degS_and_132.8833_degE,latitude (deg),-12.4833
ANBG_2019,site_at_-12.4833_degS_and_132.8833_degE,longitude (deg),132.8833
ANBG_2019,site_at_-12.4833_degS_and_132.8833_degE,collector,"Telford, I.R."
ANBG_2019,site_at_-12.4833_degS_and_132.8833_degE,locality,14 km from East Alligator River crossing on Oenpelli road towards Arnhem Highway.
ANBG_2019,site_at_-12.5_degS_and_132.9_degE,latitude (deg),-12.5
ANBG_2019,site_at_-12.5_degS_and_132.9_degE,longitude (deg),132.9
ANBG_2019,site_at_-12.5_degS_and_132.9_degE,collector,"Telford, I.R."
ANBG_2019,site_at_-12.5_degS_and_132.9_degE,locality,19 km from Arnhem Highway along Oenpelli road.
ANBG_2019,site_at_-12.58_degS_and_132.9736_degE,latitude (deg),-12.58
ANBG_2019,site_at_-12.58_degS_and_132.9736_degE,longitude (deg),132.9736
ANBG_2019,site_at_-12.58_degS_and_132.9736_degE,collector,"North, T.G."
ANBG_2019,site_at_-12.58_degS_and_132.9736_degE,locality,Kakadu National Park; 12.74 km NE of Jabiru Airport; Northern Outliers.
ANBG_2019,site_at_-12.5806_degS_and_132.9736_degE,latitude (deg),-12.5806
ANBG_2019,site_at_-12.5806_degS_and_132.9736_degE,longitude (deg),132.9736
ANBG_2019,site_at_-12.5806_degS_and_132.9736_degE,collector,"North, T.G."
ANBG_2019,site_at_-12.5806_degS_and_132.9736_degE,locality,Kakadu National Park; 12.74 km NE of Jabiru Airport; Northern Outliers.
ANBG_2019,site_at_-12.5839_degS_and_132.9919_degE,latitude (deg),-12.5839
ANBG_2019,site_at_-12.5839_degS_and_132.9919_degE,longitude (deg),132.9919
ANBG_2019,site_at_-12.5839_degS_and_132.9919_degE,collector,"North, T.G."
ANBG_2019,site_at_-12.5839_degS_and_132.9919_degE,locality,"Kakadu National Park; Northern Outliers; 6 km N of Jabiru, fire plot 144. Coordinates given plot 13.5 km NE of Jabiru airport and c. 20 km ~ENE from Jabiru."
ANBG_2019,site_at_-12.5844_degS_and_132.9922_degE,latitude (deg),-12.5844
ANBG_2019,site_at_-12.5844_degS_and_132.9922_degE,longitude (deg),132.9922
ANBG_2019,site_at_-12.5844_degS_and_132.9922_degE,collector,"North, T.G."
ANBG_2019,site_at_-12.5844_degS_and_132.9922_degE,locality,"Kakadu National Park; fire plot 144, (c. 19 km ~ENE of Jabiru)."
ANBG_2019,site_at_-12.6667_degS_and_132.4833_degE,latitude (deg),-12.6667
ANBG_2019,site_at_-12.6667_degS_and_132.4833_degE,longitude (deg),132.4833
ANBG_2019,site_at_-12.6667_degS_and_132.4833_degE,collector,"Telford, I.R."
ANBG_2019,site_at_-12.6667_degS_and_132.4833_degE,locality,2.4 km from South Alligator River crossing on Arnhem Highway towards Darwin.
ANBG_2019,site_at_-12.6833_degS_and_132.9167_degE,latitude (deg),-12.6833
ANBG_2019,site_at_-12.6833_degS_and_132.9167_degE,longitude (deg),132.9167
ANBG_2019,site_at_-12.6833_degS_and_132.9167_degE,collector,"Telford, I.R."
ANBG_2019,site_at_-12.6833_degS_and_132.9167_degE,locality,"4 km ESE of Jabiru, E of Ranger Plant."
ANBG_2019,site_at_-12.7622_degS_and_132.6606_degE,latitude (deg),-12.7622
ANBG_2019,site_at_-12.7622_degS_and_132.6606_degE,longitude (deg),132.6606
ANBG_2019,site_at_-12.7622_degS_and_132.6606_degE,collector,"North, T.G."
ANBG_2019,site_at_-12.7622_degS_and_132.6606_degE,locality,"Kakadu National Park; Nourlangie Camp, Unlaar (Anlarrh)."
ANBG_2019,site_at_-12.7686_degS_and_132.6628_degE,latitude (deg),-12.7686
ANBG_2019,site_at_-12.7686_degS_and_132.6628_degE,longitude (deg),132.6628
ANBG_2019,site_at_-12.7686_degS_and_132.6628_degE,collector,"North, T.G."
ANBG_2019,site_at_-12.7686_degS_and_132.6628_degE,locality,"Kakadu National Park; Nourlangie camp, Unlaar."
ANBG_2019,site_at_-12.8092_degS_and_132.9047_degE,latitude (deg),-12.8092
ANBG_2019,site_at_-12.8092_degS_and_132.9047_degE,longitude (deg),132.9047
ANBG_2019,site_at_-12.8092_degS_and_132.9047_degE,collector,"North, T.G."
ANBG_2019,site_at_-12.8092_degS_and_132.9047_degE,locality,"Kakadu National Park; at 53,272584,8583035 (c. 17 km ~SSE of Jabiru)."
ANBG_2019,site_at_-12.8106_degS_and_132.9044_degE,latitude (deg),-12.8106
ANBG_2019,site_at_-12.8106_degS_and_132.9044_degE,longitude (deg),132.9044
ANBG_2019,site_at_-12.8106_degS_and_132.9044_degE,collector,"McAuliffe, J."
ANBG_2019,site_at_-12.8106_degS_and_132.9044_degE,locality,"Kakadu National Park. On sandstone plateau near Mount Brockman, c. 16.83 km south from Jabiru air strip or 12.31 km north east from Nourlangie Rock."
ANBG_2019,site_at_-12.8333_degS_and_132.8667_degE,latitude (deg),-12.8333
ANBG_2019,site_at_-12.8333_degS_and_132.8667_degE,longitude (deg),132.8667
ANBG_2019,site_at_-12.8333_degS_and_132.8667_degE,collector,"Telford, I.R."
